Treatment,Species,Light_Level,Replicate,Experimental_Day,Cells,Growth_Rate,P_values
CP_v,P bur,200,B,25,106,0.082878223,-1.520709797
CP_v,P bur,200,C,18,102,0.063498566,-1.867267022
PC_v,P bur,0,A,2,43,-0.059664177,
PC_v,P bur,0,B,2,40,-0.054468379,
PC_v,P bur,0,C,0,58,-0.081693401,
PC_v,P bur,50,A,16,405,0.140102533,
PC_v,P bur,50,B,36,355,0.128403518,
PC_v,P bur,50,C,29,495,0.152581754,
PC_v,P bur,100,A,26,765,0.131254339,
PC_v,P bur,100,B,28,610,0.106512117,
PC_v,P bur,100,C,19,740,0.099737309,
PC_v,P bur,200,A,36,575,0.132447578,
PC_v,P bur,200,B,36,485,0.10744055,
PC_v,P bur,200,C,33,660,0.117752241,
Colp_v,Colp,0,A,17,2060,0.645721765,
Colp_v,Colp,0,B,10,2060,0.624438698,
Colp_v,Colp,0,C,10,1940,0.575646273,
Colp_v,Colp,50,A,9,2740,0.778378827,
Colp_v,Colp,50,B,9,2480,0.854501125,
Colp_v,Colp,50,C,9,2240,0.84957992,
Colp_v,Colp,100,A,9,2000,0.810301325,
Colp_v,Colp,100,B,13,2240,0.838205949,
Colp_v,Colp,100,C,6,2120,0.795313458,
Colp_v,Colp,200,A,8,1640,0.382869093,
Colp_v,Colp,200,B,12,1580,0.513755754,
Colp_v,Colp,200,C,17,1640,0.728922391,
Comp_v,Colp,0,A,10,1500,0.638864298,
Comp_v,Colp,0,B,33,2010,0.638521949,
Comp_v,Colp,0,C,12,1480,0.675708015,
Comp_v,Colp,50,A,10,1512.5,0.633888281,
Comp_v,Colp,50,B,7,1500,0.680065532,
Comp_v,Colp,100,A,7,660,0.39816947,
Comp_v,Colp,100,B,10,860,0.500337285,
Comp_v,Colp,100,C,26,1120,0.49974156,
Comp_v,Colp,200,A,14,300,0.266152198,
Comp_v,Colp,200,B,7,338,0.302447384,
Comp_v,Colp,200,C,7,340,0.283664841,
CP_v,Colp,0,A,48,3340,0.635146884,
CP_v,Colp,0,B,48,4580,0.60968343,
CP_v,Colp,0,C,50,3940,0.541003441,
CP_v,Colp,50,A,52,4000,0.714848958,
CP_v,Colp,50,B,45,5940,0.549306144,
CP_v,Colp,50,C,58,7140,0.728690803,
CP_v,Colp,100,A,22,1430,0.631432161,
CP_v,Colp,100,B,27,1070,0.571444494,
CP_v,Colp,100,C,20,1290,0.575646273,
CP_v,Colp,200,A,27,1370,0.67701255,
CP_v,Colp,200,B,27,1990,0.621226662,
CP_v,Colp,200,C,27,1770,0.710395398,
PC_v,Colp,0,A,54,4860,0.836599831,0.375067631
PC_v,Colp,0,B,54,6160,0.683493242,0.296377779
PC_v,Colp,0,C,47,6020,0.793835821,0.423906536
PC_v,Colp,50,A,33,3160,0.64016116,-0.235722334
PC_v,Colp,50,B,43,7120,0.886903194,0.181198592
PC_v,Colp,50,C,21,4700,0.609801726,-0.418150268
PC_v,Colp,100,A,34,3900,0.724273891,1.003302109
PC_v,Colp,100,B,26,3340,0.822727335,1.138312159
PC_v,Colp,100,C,41,3300,0.916132787,0.93928025
PC_v,Colp,200,A,47,5180,0.77936537,1.329994316
PC_v,Colp,200,B,39,8340,0.881518377,1.432928578
PC_v,Colp,200,C,36,7540,0.851577029,1.449242635
